Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
39,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),MABINI (PANGASINAN),Pangasinan 1st District Engineering Office,P00823307LZ,"Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+457 - Sta. 017+822, Caranglaan, Mabini, Pangasinan",Construction of Slope Protection Structure,2024,24AG0102,96500000,96500000,2024-12-28,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,2024-03-04,16.081463,119.889496,96500000.0,299
40,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),BURGOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00821091LZ,"Construction of Flood Control along Balingcaguing River, Barangay Anapao, Burgos, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0022,72686695,72686685,2024-04-29,CDC CONSTRUCTION & SUPPLIES,2024-02-12,16.079879,119.890938,72686685.0,77
45,Region III,ZAMBALES (SECOND LEGISLATIVE DISTRICT),SANTA CRUZ (ZAMBALES),Zambales 1st District Engineering Office,P00824717LZ,"Construction of Gama River Slope Protection/ Flood Control Structure Phase 3, Sta. Cruz, Zambales",Construction of Slope Protection Structure,2024,24CL0123,48249239.42,47694698,2024-04-15,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,2024-02-15,15.788027,119.910956,47694698.0,60
46,Region III,ZAMBALES (SECOND LEGISLATIVE DISTRICT),SANTA CRUZ (ZAMBALES),Zambales 1st District Engineering Office,P00824716LZ,"Construction of Gama River Slope Protection/ Flood Control Structure Phase 2, Sta. Cruz, Zambales",Construction of Slope Protection Structure,2024,24CL0122,48249959.91,47695117,2024-04-15,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,2024-02-15,15.788168,119.911072,47695117.0,60
51,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),MABINI (PANGASINAN),Pangasinan 1st District Engineering Office,P00843196LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 025+700 - Sta. 026+130, Barangay Calzada, Mabini, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0139,96500000,96500000,2025-01-31,ANORE CONSTRUCTION,2024-04-08,16.078171,119.926663,96500000.0,298
52,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),INFANTA (PANGASINAN),Pangasinan 1st District Engineering Office,P00824834LZ,"Construction of Slope Protection Structure along Nayom River, Sta.006+285.2 - Sta. 006+922.2, Maya, lnfanta, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0091,96500000,96500000,2024-12-06,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,2024-02-12,15.807302,119.928258,96500000.0,298
53,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),MABINI (PANGASINAN),Pangasinan 1st District Engineering Office,P00843197LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Calzada Section), Sta. 026+130 - Sta. 026+560, Barangay Calzada, Mabini, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0140,96500000,96500000,2025-02-12,ANORE CONSTRUCTION,2024-04-19,16.075554,119.929609,96500000.0,299
54,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),INFANTA (PANGASINAN),Pangasinan 1st District Engineering Office,P00824835LZ,"Construction of Slope Protection Structure along Nayom River, Sta.006+922.2 - Sta. 007+559.2, Maya, lnfanta, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0093,96500000,96500000,2024-12-18,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,2024-02-23,15.810125,119.933349,96500000.0,299
55,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),INFANTA (PANGASINAN),Pangasinan 1st District Engineering Office,P00843180LZ,"Construction of Bank Slope Protection along Nayom River, Sta. 007+559.2 - Sta. 008+159.2, Barangay Maya, Infanta, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0136,96500000,96500000,2025-02-05,ANORE CONSTRUCTION,2024-04-12,15.81281,119.938083,96500000.0,299
57,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),MABINI (PANGASINAN),Pangasinan 1st District Engineering Office,P00821105LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion Section), Sta. 027+880 - Sta. 028+203, Barangay Poblacion, Mabini, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0023,72687660,72687660,2025-01-20,BERSON'S CONSTRUCTION & TRADING,2024-02-12,16.058989,119.94275,72687660.0,343
58,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00820716LZ,"Construction of Flood Mitigation Facilities, Alaminos River (Palamis Section), Sta. 016+340 - Sta. 016+584, Barangay Palamis, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0019,49000000,49000000,2024-04-11,CDC CONSTRUCTION & SUPPLIES,2024-02-05,16.140739,119.947081,49000000.0,66
64,Region III,ZAMBALES (SECOND LEGISLATIVE DISTRICT),SANTA CRUZ (ZAMBALES),Zambales 1st District Engineering Office,P00824714LZ,"Construction of Guisguis Flood Control at Nayum River, Brgy. Guisguis, Sta. Cruz, Zambales",Construction of Flood Mitigation Structure,2024,24CL0120,48249028.28,47670294,2024-04-15,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,2024-02-15,15.806961,119.967118,47670294.0,60
65,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00824799LZ,"Construction of Flood Control Mitigation Structure along Alaminos River, Sta. 009+886 - Sta. 010+425, Barangay Jose, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0116,96500000,96500000,2025-02-01,ANORE CONSTRUCTION,2024-04-08,16.170863,119.968266,96500000.0,299
66,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00820121LZ,"Construction of Flood Mitigation Structure along Alaminos River , Sta. 009+772.9 - Sta. 010+172.9, Barangay Cayucay, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0011,96500000,96500000,2024-12-03,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,2024-02-23,16.17243,119.968294,96500000.0,284
68,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00824798LZ,"Construction of Flood Control Mitigation Structure along Alaminos River, Sta. 009+347 - Sta. 009+886, Barangay Jose, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0115,96500000,96500000,2025-02-01,ANORE CONSTRUCTION,2024-04-08,16.173912,119.970262,96500000.0,299
70,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00823305LZ,"Construction of Slope Protection Structure along Alaminos River, Sta.009+372.9 - Sta. 009+772.9, Cayucay, Alaminos City, Pangasinan",Construction of Slope Protection Structure,2024,24AG0092,96500000,96500000,2024-12-18,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,2024-02-23,16.17346,119.971324,96500000.0,299
74,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00820120LZ,"Construction of Flood Mitigation Structure along Alaminos River (Pogo Section), Sta. 010+525 - Sta. 010+925, Barangay Pogo, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0010,96500000,96500000,2024-07-17,CHIARA2300 INCORPORATED / EJR BUILDERS & CONSTRUCTION SUPPLY,2024-02-12,16.169862,119.9734,96500000.0,156
78,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00824797LZ,"Construction of Bank Slope Protection along Alaminos River, Sta. 008+572.9 - Sta. 008+972.9, Barangay Cayucay, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0114,96500000,96500000,2025-01-26,ANORE CONSTRUCTION,2024-04-12,16.177186,119.976198,96500000.0,289
81,Region III,ZAMBALES (SECOND LEGISLATIVE DISTRICT),SANTA CRUZ (ZAMBALES),Zambales 1st District Engineering Office,P00824715LZ,"Construction of Guinabon Flood Control at Nayum River, Brgy. Guinabon, Sta. Cruz, Zambales",Construction of Flood Mitigation Structure,2024,24CL0121,48248273.33,47669194,2024-04-15,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,2024-02-15,15.809271,119.984052,47669194.0,60
88,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00820713LZ,"Construction of Flood Mitigation Facilities along Alaminos River (Barangay Cabatuan - Victoria Section), Sta. 024+385 - Sta. 024+629, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0016,49000000,49000000,2024-07-18,ALCEL CONSTRUCTION,2024-02-05,16.115065,120.008678,49000000.0,164
89,Region III,ZAMBALES (SECOND LEGISLATIVE DISTRICT),IBA (CAPITAL) (ZAMBALES),Zambales 1st District Engineering Office,P00844770LZ,"Construction of Flood Control Structure along Bancal-San Isidro-Mambog River (Totun Lanum) Phase 3, Sitio Tambak, (North Side), Barangay Palanginan, Iba, Zambales",Construction of Flood Mitigation Structure,2024,24CL0127,48249885.77,47579211.86,2024-11-13,RAIK CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: RAIK CONSTRUCTION AND SUPPLY),2024-02-22,15.319846,120.008689,47579211.86,265
90,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00843215LZ,"Construction of Flood Control Structure, Brgy. Lucap, Alaminos City, Pangasinan (Package II)",Construction of Flood Mitigation Structure,2024,24AG0021,96500000,96491365.52,2025-03-03,ORIENTAL SALES CENTER AND CONTRACTOR / ALCEL CONSTRUCTION,2024-02-12,16.182669,120.008813,96491365.52,385
106,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00821475LZ,"Construction of Flood Control Structure along Aringay River Basin, Tubao, La Union (Package 8)",Construction of Flood Mitigation Structure,2024,24AF0012,48999995.52,48926107.83,2025-03-17,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2024-02-02,16.367985,120.401734,48926107.83,409
107,Region I,LA UNION (FIRST LEGISLATIVE DISTRICT),SAN GABRIEL (LA UNION),La Union 1st District Engineering Office,P00824807LZ,"Construction of Flood Control Structure along Baroro River, Barangay Bucao, San Gabriel, La Union",Construction of Flood Mitigation Structure,2024,24A00278,154400000,154399996.76,2024-04-15,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),2024-03-01,16.665165,120.402042,154399996.76,45
111,Region I,PANGASINAN (FOURTH LEGISLATIVE DISTRICT),MANGALDAN (PANGASINAN),Pangasinan 2nd District Engineering Office,P00839554LZ,"Construction of Drainage System at Barangay Bari, Mangaldan, Pangasinan",Construction of Drainage Structure,2024,24AH0056,4950000,4950000,2024-05-18,MIGHTYWAY CONSTRUCTION AND SUPPLY,2024-02-15,16.059806,120.403223,4950000.0,93
113,Region I,LA UNION (FIRST LEGISLATIVE DISTRICT),SAN GABRIEL (LA UNION),La Union 1st District Engineering Office,P00820103LZ,"Construction of Flood Control Mitigation Structure along Barangay Bumbuneg-Baroro, San Gabriel, La Union",Construction of Flood Mitigation Structure,2024,24AE0019,84262347.69,82971487.54,2024-10-25,MY BUILDERS AND CONSTRUCTION,2024-02-14,16.6716653,120.4033116,82971487.54,254
115,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00821474LZ,"Construction of Flood Control Structure along Aringay River Basin, Barangay Sta. Teresa, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24AF0048,48999991.25,48987820.45,2025-03-16,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-02-29,16.365157,120.403667,48987820.45,381
120,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00845902LZ,"Construction of Flood Control Structure along Aringay River Basin, Brgy. Leones East, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24AF0049,29699998.74,29693457.1,2025-02-16,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-02-27,16.363388,120.405002,29693457.1,355
121,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00839551LZ,"Construction of Flood Control Structure, Aringay River Basin, Barangay Leones East, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24A00155,14850000,14849401.14,2024-10-01,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-09-09,16.362418,120.405027,14849401.14,22
130,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),NAGUILIAN (LA UNION),La Union 2nd District Engineering Office,P00823292LZ,"Construction of Flood Control Structure along Balili River, Barangay Ambaracao Norte, Naguilian, La Union",Construction of Flood Mitigation Structure,2024,24A00442,115800000,115799720.8,2024-08-19,MG SAMIDAN CONSTRUCTION,2024-05-13,16.502485,120.40975,115799720.8,98
131,Region I,LA UNION (FIRST LEGISLATIVE DISTRICT),SAN GABRIEL (LA UNION),La Union 1st District Engineering Office,P00824809LZ,"Construction of Flood Control Structure along Baroro River, Barangay Poblacion, San Gabriel, La Union",Construction of Flood Mitigation Structure,2024,24A00280,154400000,154399995.59,2024-04-15,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),2024-03-01,16.6822,120.4098,154399995.59,45
139,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),CITY OF CANDON (ILOCOS SUR),Ilocos Sur 2nd District Engineering Office,P00823295LZ,"Construction of Tamurong Flood Control, Candon City, Ilocos Sur",Construction of Revetment,2024,24AD0069,34300000,33774671.1,2024-11-22,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,2024-05-03,17.206896,120.412804,33774671.1,203
143,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00823314LZ,"Construction of Flood Control Structure along Aringay River Basin Barangay Halog East, Tubao, La Union (Package 7)",Construction of Flood Mitigation Structure,2024,24AF0140,19299998.86,19284998.86,2025-03-16,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-05-07,16.356472,120.414691,19284998.86,313
147,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00845904LZ,"Construction of Flood Control Structure along Aringay River Basin, Brgy. Halong West, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24AF0052,29699997.95,29693452.57,2025-03-16,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-02-27,16.348489,120.415777,29693452.57,383
148,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),NAGUILIAN (LA UNION),La Union 2nd District Engineering Office,P00823291LZ,"Construction of Flood Control Structure along Balili River, Barangay Al-Alinao Norte, Naguilian, La Union",Construction of Flood Mitigation Structure,2024,24A00441,115800000,115799749.5,2024-11-11,ROCK-WBL CONSTRUCTION CORP. (FOR: ROCK-WBL CONSTRUCTION TRADING & SERVICES),2024-05-03,16.5037,120.416,115799749.5,192
156,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00821479LZ,"Construction of Flood Mitigation Structure along Aringay River Basin, Barangay Halog West, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24A00258,48250000,48249980.3,2024-11-27,JABEN GENERAL CONTRACTING & ENG'G SERVICES,2024-03-15,16.355874,120.417911,48249980.3,257
160,Region I,LA UNION (FIRST LEGISLATIVE DISTRICT),BANGAR (LA UNION),La Union 1st District Engineering Office,P00844719LZ,"Construction of Flood Mitigating Structure, Barangay Pudoc, Bangar, La Union",Construction of Flood Mitigation Structure,2024,24AE0076,48999990.12,48999163.46,2024-09-10,ARM-ASIA CONSTRUCTION & ENGINEERING,2024-03-27,16.920519,120.419463,48999163.46,167
162,Region III,BATAAN (FIRST LEGISLATIVE DISTRICT),HERMOSA (BATAAN),Bataan 1st District Engineering Office,P00823396LZ,"Construciton of Flood Control Project Along Colo River , Maite Section , Phase IV-DMC, Hermosa, Bataan",Construction of Revetment,2024,24CA0036,96499998.25,96499998.25,2024-12-09,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,2024-04-23,14.845313,120.420212,96499998.25,230
163,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),CITY OF CANDON (ILOCOS SUR),Ilocos Sur 2nd District Engineering Office,P00823296LZ,"Construction of Darapidap Flood Control, Candon City, Ilocos Sur",Construction of Revetment,2024,24AD0070,43120000,41782461.14,2025-02-03,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,2024-04-24,17.20442,120.42022,41782461.14,285
164,Region I,PANGASINAN (THIRD LEGISLATIVE DISTRICT),MALASIQUI (PANGASINAN),Pangasinan 4th District Engineering Office,P00820729LZ,"Construction of Slope Protection along Ingalera River, Barangay Barang, Malasiqui, Pangasinan (Phase V)",Construction of Flood Mitigation Structure,2024,24AJ0008,49000000,47699899.6,2024-04-17,BET CONSTRUCTION & SUPPLY / RIEMAR CONSTRUCTION,2024-02-06,15.925,120.421,47699899.6,71
172,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00845905LZ,"Construction of Flood Control Structure, Aringay River Basin, Brgy. Magsaysay, Tubao, La Union (Package 4)",Construction of Flood Mitigation Structure,2024,24AF0051,29699998.12,29694079.43,2025-03-16,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-02-27,16.344816,120.423261,29694079.43,383
174,Region I,LA UNION (FIRST LEGISLATIVE DISTRICT),BANGAR (LA UNION),La Union 1st District Engineering Office,P00821467LZ,"Rehabilitation of Amburayan River Control, Barangay Consuegra to Barangay Alzate, Bangar , La Union",Rehabilitation / Major Repair of Flood Control Structure,2024,24A00253,48250000,48249960.93,2024-09-05,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,2024-04-19,16.9097636,120.423669,48249960.93,139
176,Region I,LA UNION (FIRST LEGISLATIVE DISTRICT),LUNA (LA UNION),La Union 1st District Engineering Office,P00820128LZ,"Construction of Flood Mitigation Structure along Barangay Napaset, Luna, La Union",Construction of Flood Mitigation Structure,2024,24AE0022,84262316.12,82971637.15,2024-04-29,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,2024-02-14,16.849743,120.423725,82971637.15,75
185,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00824839LZ,"Construction of Flood Control Structure along Aringay River Basin, Brgy. Magsaysay, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24AF0141,19299998.89,19284998.86,2025-03-16,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2024-05-07,16.3491,120.4257,19284998.86,313
186,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),SANTA (ILOCOS SUR),Ilocos Sur 2nd District Engineering Office,P00844712LZ,"Construction of Tabuculan Flood Control, Brgy Tabuculan Santa, Ilocos Sur",Construction of Flood Mitigation Structure,2024,24AD0044,34300000,34299950.55,2024-10-01,M.V. SABALBURO CONSTRUCTION AND SUPPLY,2024-02-28,17.49168,120.42614,34299950.55,216
194,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),TUBAO (LA UNION),La Union 2nd District Engineering Office,P00821096LZ,"Construction of Flood Control Structure Along Aringay River, Barangay Halog East, Tubao, La Union",Construction of Flood Mitigation Structure,2024,24A00153,144750000,144749736.97,2024-07-26,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2024-03-15,16.356512,120.428731,144749736.97,133
